# Dies ist eine Liste von Kombinationen von "filename, region, slug", die bei Checks ignoriert werden können.
# Liste wird manuell gefüllt, auf der Basis, welche Einträge in den Original-Exceldateien fehlt.
impfquotenmonitoring-2020-12-31-11-36-12.json,NW,indikation_medizinisch_erst
impfquotenmonitoring-2020-12-31-11-36-12.json,NW,indikation_medizinisch_min1
impfquotenmonitoring-2020-12-31-11-36-12.json,RP,indikation_alter_dosen
impfquotenmonitoring-2020-12-31-11-36-12.json,RP,indikation_alter_erst
impfquotenmonitoring-2020-12-31-11-36-12.json,RP,indikation_alter_min1
impfquotenmonitoring-2020-12-31-11-36-12.json,RP,indikation_medizinisch_dosen
impfquotenmonitoring-2020-12-31-11-36-12.json,RP,indikation_medizinisch_erst
impfquotenmonitoring-2020-12-31-11-36-12.json,RP,indikation_medizinisch_min1
impfquotenmonitoring-2020-12-31-11-36-12.json,SL,indikation_medizinisch_dosen
impfquotenmonitoring-2020-12-31-11-36-12.json,SL,indikation_medizinisch_erst
impfquotenmonitoring-2020-12-31-11-36-12.json,SL,indikation_medizinisch_min1
impfquotenmonitoring-2020-12-31-11-36-12.json,TH,indikation_medizinisch_dosen
impfquotenmonitoring-2020-12-31-11-36-12.json,TH,indikation_medizinisch_erst
impfquotenmonitoring-2020-12-31-11-36-12.json,TH,indikation_medizinisch_min1
impfquotenmonitoring-2021-01-01-13-40-03.json,HH,indikation_medizinisch_dosen
impfquotenmonitoring-2021-01-01-13-40-03.json,HH,indikation_medizinisch_erst
impfquotenmonitoring-2021-01-01-13-40-03.json,HH,indikation_medizinisch_min1
impfquotenmonitoring-2021-01-01-13-40-03.json,NW,indikation_alter_dosen
impfquotenmonitoring-2021-01-01-13-40-03.json,NW,indikation_alter_erst
impfquotenmonitoring-2021-01-01-13-40-03.json,NW,indikation_alter_min1
impfquotenmonitoring-2021-01-01-13-40-03.json,NW,indikation_medizinisch_dosen
impfquotenmonitoring-2021-01-01-13-40-03.json,NW,indikation_medizinisch_erst
impfquotenmonitoring-2021-01-01-13-40-03.json,NW,indikation_medizinisch_min1
impfquotenmonitoring-2021-01-01-13-40-03.json,RP,indikation_alter_dosen
impfquotenmonitoring-2021-01-01-13-40-03.json,RP,indikation_alter_erst
impfquotenmonitoring-2021-01-01-13-40-03.json,RP,indikation_alter_min1
impfquotenmonitoring-2021-01-01-13-40-03.json,RP,indikation_medizinisch_dosen
impfquotenmonitoring-2021-01-01-13-40-03.json,RP,indikation_medizinisch_erst
impfquotenmonitoring-2021-01-01-13-40-03.json,RP,indikation_medizinisch_min1
impfquotenmonitoring-2021-01-01-13-40-03.json,SL,indikation_medizinisch_dosen
impfquotenmonitoring-2021-01-01-13-40-03.json,SL,indikation_medizinisch_erst
impfquotenmonitoring-2021-01-01-13-40-03.json,SL,indikation_medizinisch_min1
impfquotenmonitoring-2021-01-02-14-40-03.json,HH,indikation_medizinisch_dosen
impfquotenmonitoring-2021-01-02-14-40-03.json,HH,indikation_medizinisch_erst
impfquotenmonitoring-2021-01-02-14-40-03.json,HH,indikation_medizinisch_min1
impfquotenmonitoring-2021-01-02-14-40-03.json,NW,indikation_alter_dosen
impfquotenmonitoring-2021-01-02-14-40-03.json,NW,indikation_alter_erst
impfquotenmonitoring-2021-01-02-14-40-03.json,NW,indikation_alter_min1
impfquotenmonitoring-2021-01-02-14-40-03.json,RP,indikation_alter_dosen
impfquotenmonitoring-2021-01-02-14-40-03.json,RP,indikation_alter_erst
impfquotenmonitoring-2021-01-02-14-40-03.json,RP,indikation_alter_min1
impfquotenmonitoring-2021-01-02-14-40-03.json,RP,indikation_medizinisch_dosen
impfquotenmonitoring-2021-01-02-14-40-03.json,RP,indikation_medizinisch_erst
impfquotenmonitoring-2021-01-02-14-40-03.json,RP,indikation_medizinisch_min1
impfquotenmonitoring-2021-01-02-14-40-03.json,SL,indikation_medizinisch_dosen
impfquotenmonitoring-2021-01-02-14-40-03.json,SL,indikation_medizinisch_erst
impfquotenmonitoring-2021-01-02-14-40-03.json,SL,indikation_medizinisch_min1
impfquotenmonitoring-2021-01-02-14-40-03.json,TH,indikation_medizinisch_dosen
impfquotenmonitoring-2021-01-02-14-40-03.json,TH,indikation_medizinisch_erst
impfquotenmonitoring-2021-01-02-14-40-03.json,TH,indikation_medizinisch_min1
impfquotenmonitoring-2021-01-03-12-40-03.json,HH,indikation_medizinisch_dosen
impfquotenmonitoring-2021-01-03-12-40-03.json,HH,indikation_medizinisch_erst
impfquotenmonitoring-2021-01-03-12-40-03.json,HH,indikation_medizinisch_min1
impfquotenmonitoring-2021-01-03-12-40-03.json,NW,indikation_alter_dosen
impfquotenmonitoring-2021-01-03-12-40-03.json,NW,indikation_alter_erst
impfquotenmonitoring-2021-01-03-12-40-03.json,NW,indikation_alter_min1
impfquotenmonitoring-2021-01-03-12-40-03.json,NW,indikation_medizinisch_dosen
impfquotenmonitoring-2021-01-03-12-40-03.json,NW,indikation_medizinisch_erst
impfquotenmonitoring-2021-01-03-12-40-03.json,NW,indikation_medizinisch_min1
impfquotenmonitoring-2021-01-03-12-40-03.json,RP,indikation_alter_dosen
impfquotenmonitoring-2021-01-03-12-40-03.json,RP,indikation_alter_erst
impfquotenmonitoring-2021-01-03-12-40-03.json,RP,indikation_alter_min1
impfquotenmonitoring-2021-01-03-12-40-03.json,RP,indikation_medizinisch_dosen
impfquotenmonitoring-2021-01-03-12-40-03.json,RP,indikation_medizinisch_erst
impfquotenmonitoring-2021-01-03-12-40-03.json,RP,indikation_medizinisch_min1
impfquotenmonitoring-2021-01-03-12-40-03.json,SL,indikation_medizinisch_dosen
impfquotenmonitoring-2021-01-03-12-40-03.json,SL,indikation_medizinisch_erst
impfquotenmonitoring-2021-01-03-12-40-03.json,SL,indikation_medizinisch_min1
impfquotenmonitoring-2021-01-03-12-40-03.json,TH,indikation_medizinisch_dosen
impfquotenmonitoring-2021-01-03-12-40-03.json,TH,indikation_medizinisch_erst
impfquotenmonitoring-2021-01-03-12-40-03.json,TH,indikation_medizinisch_min1
impfquotenmonitoring-2021-01-06-11-40-03.json,NW,indikation_alter_dosen
impfquotenmonitoring-2021-01-06-11-40-03.json,NW,indikation_alter_erst
impfquotenmonitoring-2021-01-06-11-40-03.json,NW,indikation_alter_min1
impfquotenmonitoring-2021-01-06-11-40-03.json,NW,indikation_medizinisch_dosen
impfquotenmonitoring-2021-01-06-11-40-03.json,NW,indikation_medizinisch_erst
impfquotenmonitoring-2021-01-06-11-40-03.json,NW,indikation_medizinisch_min1
impfquotenmonitoring-2021-01-06-11-40-03.json,RP,indikation_alter_dosen
impfquotenmonitoring-2021-01-06-11-40-03.json,RP,indikation_alter_erst
impfquotenmonitoring-2021-01-06-11-40-03.json,RP,indikation_alter_min1
impfquotenmonitoring-2021-01-06-11-40-03.json,RP,indikation_medizinisch_dosen
impfquotenmonitoring-2021-01-06-11-40-03.json,RP,indikation_medizinisch_erst
impfquotenmonitoring-2021-01-06-11-40-03.json,RP,indikation_medizinisch_min1
impfquotenmonitoring-2021-01-06-11-40-03.json,SL,indikation_medizinisch_dosen
impfquotenmonitoring-2021-01-06-11-40-03.json,SL,indikation_medizinisch_erst
impfquotenmonitoring-2021-01-06-11-40-03.json,SL,indikation_medizinisch_min1
impfquotenmonitoring-2021-01-07-11-40-04.json,NW,indikation_alter_dosen
impfquotenmonitoring-2021-01-07-11-40-04.json,NW,indikation_alter_erst
impfquotenmonitoring-2021-01-07-11-40-04.json,NW,indikation_alter_min1
impfquotenmonitoring-2021-01-07-11-40-04.json,NW,indikation_medizinisch_dosen
impfquotenmonitoring-2021-01-07-11-40-04.json,NW,indikation_medizinisch_erst
impfquotenmonitoring-2021-01-07-11-40-04.json,NW,indikation_medizinisch_min1
impfquotenmonitoring-2021-01-07-11-40-04.json,RP,indikation_alter_dosen
impfquotenmonitoring-2021-01-07-11-40-04.json,RP,indikation_alter_erst
impfquotenmonitoring-2021-01-07-11-40-04.json,RP,indikation_alter_min1
impfquotenmonitoring-2021-01-07-11-40-04.json,RP,indikation_medizinisch_dosen
impfquotenmonitoring-2021-01-07-11-40-04.json,RP,indikation_medizinisch_erst
impfquotenmonitoring-2021-01-07-11-40-04.json,RP,indikation_medizinisch_min1
impfquotenmonitoring-2021-01-07-11-40-04.json,SL,indikation_medizinisch_dosen
impfquotenmonitoring-2021-01-07-11-40-04.json,SL,indikation_medizinisch_erst
impfquotenmonitoring-2021-01-07-11-40-04.json,SL,indikation_medizinisch_min1
impfquotenmonitoring-2021-01-11-11-40-03.json,NW,indikation_alter_dosen
impfquotenmonitoring-2021-01-11-11-40-03.json,NW,indikation_alter_erst
impfquotenmonitoring-2021-01-11-11-40-03.json,NW,indikation_alter_min1
impfquotenmonitoring-2021-01-11-11-40-03.json,NW,indikation_medizinisch_dosen
impfquotenmonitoring-2021-01-11-11-40-03.json,NW,indikation_medizinisch_erst
impfquotenmonitoring-2021-01-11-11-40-03.json,NW,indikation_medizinisch_min1
impfquotenmonitoring-2021-01-11-11-40-03.json,SL,indikation_medizinisch_dosen
impfquotenmonitoring-2021-01-11-11-40-03.json,SL,indikation_medizinisch_erst
impfquotenmonitoring-2021-01-11-11-40-03.json,SL,indikation_medizinisch_min1
impfquotenmonitoring-2021-01-14-12-40-03.json,NW,indikation_alter_dosen
impfquotenmonitoring-2021-01-14-12-40-03.json,NW,indikation_alter_erst
impfquotenmonitoring-2021-01-14-12-40-03.json,NW,indikation_alter_min1
impfquotenmonitoring-2021-01-14-12-40-03.json,NW,indikation_medizinisch_dosen
impfquotenmonitoring-2021-01-14-12-40-03.json,NW,indikation_medizinisch_erst
impfquotenmonitoring-2021-01-14-12-40-03.json,NW,indikation_medizinisch_min1
impfquotenmonitoring-2021-01-14-12-40-03.json,SL,indikation_medizinisch_dosen
impfquotenmonitoring-2021-01-14-12-40-03.json,SL,indikation_medizinisch_erst
impfquotenmonitoring-2021-01-14-12-40-03.json,SL,indikation_medizinisch_min1
impfquotenmonitoring-2021-01-18-14-40-03.json,NW,indikation_alter_dosen
impfquotenmonitoring-2021-01-18-14-40-03.json,NW,indikation_alter_erst
impfquotenmonitoring-2021-01-18-14-40-03.json,NW,indikation_alter_min1
impfquotenmonitoring-2021-01-18-14-40-03.json,NW,indikation_medizinisch_dosen
impfquotenmonitoring-2021-01-18-14-40-03.json,NW,indikation_medizinisch_erst
impfquotenmonitoring-2021-01-18-14-40-03.json,NW,indikation_medizinisch_min1
impfquotenmonitoring-2021-01-18-17-40-04.json,NW,indikation_alter_dosen
impfquotenmonitoring-2021-01-18-17-40-04.json,NW,indikation_alter_erst
impfquotenmonitoring-2021-01-18-17-40-04.json,NW,indikation_alter_min1
impfquotenmonitoring-2021-01-18-17-40-04.json,NW,indikation_medizinisch_dosen
impfquotenmonitoring-2021-01-18-17-40-04.json,NW,indikation_medizinisch_erst
impfquotenmonitoring-2021-01-18-17-40-04.json,NW,indikation_medizinisch_min1
impfquotenmonitoring-2021-01-19-11-40-03.json,BB,indikation_alter_voll
impfquotenmonitoring-2021-01-19-11-40-03.json,BB,indikation_beruf_voll
impfquotenmonitoring-2021-01-19-11-40-03.json,BB,indikation_medizinisch_voll
impfquotenmonitoring-2021-01-19-11-40-03.json,BB,indikation_pflegeheim_voll
impfquotenmonitoring-2021-01-19-11-40-03.json,BE,indikation_medizinisch_voll
impfquotenmonitoring-2021-01-19-11-40-03.json,BW,indikation_alter_voll
impfquotenmonitoring-2021-01-19-11-40-03.json,BW,indikation_beruf_voll
impfquotenmonitoring-2021-01-19-11-40-03.json,BW,indikation_medizinisch_voll
impfquotenmonitoring-2021-01-19-11-40-03.json,BW,indikation_pflegeheim_voll
impfquotenmonitoring-2021-01-19-11-40-03.json,HH,indikation_medizinisch_voll
impfquotenmonitoring-2021-01-19-11-40-03.json,NW,indikation_alter_erst
impfquotenmonitoring-2021-01-19-11-40-03.json,NW,indikation_alter_min1
impfquotenmonitoring-2021-01-19-11-40-03.json,NW,indikation_alter_voll
impfquotenmonitoring-2021-01-19-11-40-03.json,NW,indikation_medizinisch_erst
impfquotenmonitoring-2021-01-19-11-40-03.json,NW,indikation_medizinisch_min1
impfquotenmonitoring-2021-01-19-11-40-03.json,NW,indikation_medizinisch_voll
impfquotenmonitoring-2021-01-19-11-40-03.json,RP,indikation_alter_voll
impfquotenmonitoring-2021-01-19-11-40-03.json,RP,indikation_medizinisch_voll
impfquotenmonitoring-2021-01-19-11-40-03.json,SH,indikation_alter_voll
impfquotenmonitoring-2021-01-19-11-40-03.json,SH,indikation_beruf_voll
impfquotenmonitoring-2021-01-19-11-40-03.json,SH,indikation_medizinisch_voll
impfquotenmonitoring-2021-01-19-11-40-03.json,SH,indikation_pflegeheim_voll
impfquotenmonitoring-2021-01-19-11-40-03.json,SL,indikation_alter_voll
impfquotenmonitoring-2021-01-19-11-40-03.json,SL,indikation_beruf_voll
impfquotenmonitoring-2021-01-19-11-40-03.json,SL,indikation_medizinisch_erst
impfquotenmonitoring-2021-01-19-11-40-03.json,SL,indikation_medizinisch_min1
impfquotenmonitoring-2021-01-19-11-40-03.json,SL,indikation_medizinisch_voll
impfquotenmonitoring-2021-01-19-11-40-03.json,SL,indikation_pflegeheim_voll
impfquotenmonitoring-2021-01-19-11-40-03.json,SN,indikation_medizinisch_voll
impfquotenmonitoring-2021-01-19-11-40-03.json,TH,indikation_alter_voll
impfquotenmonitoring-2021-01-19-11-40-03.json,TH,indikation_medizinisch_voll
impfquotenmonitoring-2021-01-19-11-40-03.json,TH,indikation_pflegeheim_voll






