date,publication_date,impfungen_kumulativ,indikation_nach_alter,berufliche_indikation,pflegeheimbewohnerin,differenz_zum_vortag,medizinische_indikation,impfungen_pro_1000_einwohner
2021-02-07,2021-02-08 11:00,88791,34450,44546,11149,,3211,41.61990983313787
2021-02-08,2021-02-09 10:00,91413,36283,45138,11171,,3484,42.84894660018056
2021-02-09,2021-02-10 10:00,97013,39561,46765,11619,,3964,45.47389164039378
2021-02-10,2021-02-11 10:00,102041,42766,48401,12184,,4279,47.83071729435665
2021-02-11,2021-02-12 10:00,106874,45673,49997,12642,,4454,50.09613861209781
2021-02-12,2021-02-13 08:00,112155,48853,51478,13215,,4881,52.57155553305603
2021-02-14,2021-02-15 08:00,117429,50454,54270,14139,,5581,55.04369127271398
2021-02-15,2021-02-16 08:00,123028,53530,56552,15009,,5927,57.668167572741446
2021-02-16,2021-02-17 10:00,126432,60163,56791,25590,,6174,59.26375916504248
2021-02-17,2021-02-18 08:00,131019,63177,58111,26343,,6321,61.41387039708856
2021-02-18,2021-02-19 08:00,135769,66533,59278,27298,,6461,63.640386279412276
2021-02-19,2021-02-20 08:00,140222,69426,60505,28051,,6651,65.72768632656754
2021-02-21,2021-02-22 08:00,144484,70904,62871,28705,,6926,67.7254569982441
2021-02-22,2021-02-23 08:00,148641,73880,63810,29420,,7026,69.67400995041666
2021-02-23,2021-02-24 08:00,152823,76795,64810,30021,,7179,71.63428140723303
2021-02-24,2021-02-25 08:00,157742,80101,66056,30882,,7443,73.9400143809489
2021-02-25,2021-02-26 10:00,161757,83170,66828,31468,,7545,75.82200622674463
2021-02-26,2021-02-27 08:00,166258,86379,67951,32212,,7667,77.931805802816
2021-02-28,2021-03-01 08:00,177382,86854,77514,33019,,8485,83.14607162912526
2021-03-01,2021-03-02 08:00,181444,89521,78623,33378,,8639,85.05009426365136
2021-03-02,2021-03-03 10:00,186686,92743,80275,34032,,8891,87.50723031736523
2021-03-03,2021-03-04 08:00,191564,95953,81555,34888,,9105,89.79374494346524
2021-03-04,2021-03-05 08:00,196313,99186,82716,35790,,9260,92.01979208560321
2021-03-05,2021-03-06 08:00,201587,102532,84234,36634,,9527,94.49192782526116
2021-03-07,2021-03-08 08:00,213900,103407,93775,38015,,10737,100.26352573242998
2021-03-08,2021-03-09 08:00,218604,106499,95058,38577,,10911,102.46847956620908
2021-03-09,2021-03-10 08:00,224079,109767,96627,39245,,11376,105.03483208320326
2021-03-10,2021-03-11 08:00,229877,114082,97669,40044,,11683,107.75258768019545
2021-03-11,2021-03-12 08:00,238775,119264,99457,40884,,13409,111.92343785301995
2021-03-12,2021-03-13 08:00,246375,124444,100911,41660,,14320,115.4858632647379
2021-03-14,2021-03-15 08:00,263625,129566,106949,42607,,20344,123.57163146896612
2021-03-15,2021-03-16 08:00,270954,134952,108056,43508,,20775,127.00702829034518
2021-03-16,2021-03-17 08:00,277756,139413,109925,44376,,21038,130.19539903383273
2021-03-17,2021-03-18 08:00,283337,143615,110776,45135,,21521,132.81143801051667
2021-03-18,2021-03-19 08:00,289651,147757,112430,45916,,21887,135.77106354335706
2021-03-19,2021-03-20 08:00,301000,154899,115467,46490,,22980,141.09079591146062
2021-03-21,2021-03-22 08:00,318058,160974,120021,47577,,28673,149.08656600002436
2021-03-22,2021-03-23 08:00,326142,166905,121120,47896,,29752,152.87586166164647
2021-03-23,2021-03-24 08:00,334495,172747,122248,48451,,30990,156.79124843323592
2021-03-24,2021-03-25 08:00,342883,178317,123238,49006,,32741,160.72304111132672
2021-03-25,2021-03-26 08:00,351178,183978,124296,49471,,34123,164.61124095214257
2021-03-26,2021-03-27 08:00,359940,189863,125524,50273,,35306,168.71834245970476
2021-03-28,2021-03-29 08:00,377430,198057,128741,50973,,40361,176.91660830851353
2021-03-29,2021-03-30 08:00,386109,203464,129864,51462,,42153,180.9848043806583
2021-03-30,2021-03-31 08:00,394802,208620,131099,52181,,43938,185.05956281540355
